page,emplacement
1845_05_14_CHA-0012.xml,train
1845_05_14_CHA-0013.xml,dev
1845_05_14_CHA-0014.xml,train
1856_10_LAV_N03-1.xml,train
1856_10_LAV_N03-4.xml,train
1856_10_LAV_N03-5.xml,train
1857_02_05_JA1_bpt6k9677856h_0004.xml,train
1857_02_05_JA1_bpt6k9677856h_0005.xml,train
1866_04_23_GAB_0004.xml,train
1866_04_23_GAB_0005.xml,train
1870_03_RDA_N025-1.xml,train
1870_03_RDA_N025-12.xml,train
1871_08_RDA_N028-4.xml,train
1873_05_RDA_N035-14.xml,train
1877_01_RDA_N050-10.xml,train
1880_02_RDA_N060-6.xml,train
1881_11_RDA_N070-7.xml,train
1883_10_RDA_N080-3.xml,train
1885_12_RDA_N095_gt_0003.xml,train
1887_bovet_bpt6k6325943w_gt_0076.xml,train
1887_bovet_bpt6k6325943w_gt_0079.xml,train
1896_05_30_ETI_gt_typo_0010.xml,train
1896_05_30_ETI_gt_typo_0011.xml,train
1899_02_LAD_N293_gt_0004.xml,train
1899_02_LAD_N293_gt_0005.xml,train
1899_02_LAD_N293_gt_0006.xml,train
1912_XX_Kra_12_gt_bpt6k6527450d_0005.xml,train
1912_XX_Kra_12_gt_bpt6k6527450d_0006.xml,train
1912_XX_Kra_12_gt_bpt6k6527450d_0008.xml,train
1912_XX_Kra_12_gt_bpt6k6527450d_0009.xml,train
1919_04_LAD_N507_2.xml,train
1919_04_LAD_N507_3.xml,train
1919_04_LAD_N507_5.xml,train
Annuaire_1898 1045.xml,train
Annuaire_1898 1126.xml,train
Annuaire_1898 1138.xml,train
Annuaire_1898 1147.xml,train
Annuaire_1898 1159.xml,train
Annuaire_1898 1162.xml,train
Annuaire_1898 1163.xml,train
Annuaire_1898 1229.xml,train
Annuaire_1898 1236.xml,train
Annuaire_1898 1279.xml,train
Annuaire_1898 1282.xml,train
Annuaire_1898 1283.xml,train
Annuaire_1898 1367.xml,train
Annuaire_1898 1369.xml,train
Annuaire_1898 1400.xml,train
Annuaire_1898 1402.xml,train
Annuaire_1898 1407.xml,dev
Annuaire_1898 1454.xml,train
Annuaire_1898 1455.xml,train
Annuaire_1898 1456.xml,dev
Annuaire_1898 673.xml,train
Annuaire_1898 674.xml,dev
Annuaire_1898 675.xml,train
Annuaire_1898 777.xml,train
Annuaire_1898 778.xml,train
Annuaire_1898 779.xml,train
Annuaire_1898 824.xml,train
Annuaire_1898 825.xml,train
Annuaire_1898 826.xml,train
Annuaire_1898 845.xml,train
Annuaire_1898 948.xml,train
Annuaire_1898 973.xml,train
Annuaire_1898 975.xml,train
Cat_Courbet_1882-1_typo_0001.xml,train
Cat_Courbet_1882-1_typo_0003.xml,train
Cat_Courbet_1882-1_typo_0009.xml,train
Cat_Inde_1892_typo_0001.xml,train
Cat_Inde_1892_typo_0002.xml,train
Cat_Inde_1892_typo_0004.xml,dev
Cat_Inde_1913_typo_0001.xml,train
Cat_Inde_1913_typo_0002.xml,train
Cat_Inde_1913_typo_0003.xml,train
Cat_Inde_1923_typo_0001.xml,train
Cat_Inde_1923_typo_0002.xml,train
Cat_Lux_1818_typo_0004.xml,train
Cat_Lux_1867_typo_0001.xml,train
Cat_Lux_1867_typo_0005.xml,train
Cat_Nancy_1843_typo_0001.xml,train
Cat_Nancy_1849_typo_0002.xml,train
Cat_Nancy_1892_typo_0001.xml,train
Cat_Nancy_1892_typo_0002.xml,train
Cat_Paris_1961_typo_0005.xml,train
Cat_Paris_1969_typo_0002.xml,train
Cat_Rouen_1853_typo_0003.xml,train
Cat_Rouen_1869_typo_0004.xml,train
Cat_Rouen_1888_typo_0001.xml,train
Cat_SaoPaulo_1951_0002.xml,train
Cat_SaoPaulo_1972_typo_0002.xml,train
Cat_Strasbourg_1884-1_typo_0002.xml,train
Cat_Strasbourg_1884-2_typo_0003.xml,train
Cat_Strasbourg_1884-3_typo_0003.xml,train
Cat_Venezia_1895_typo_0001.xml,dev
Cat_Venezia_1895_typo_0003.xml,train
Cat_Venezia_1905_typo_0004.xml,train
Cat_Venezia_1920_typo_0002.xml,train
Cat_Venezia_1920_typo_0005.xml,train
